zone,hour,cluster,count
15675,23,MON,2038
15675,0,MON,1961
15676,1,MON,6340
15676,2,MON,5558
15676,3,MON,5471
15676,4,MON,6137
15676,5,MON,6937
15676,6,MON,7205
15676,7,MON,6808
15676,8,MON,6064
15676,9,MON,5750
15676,10,MON,5620
15676,11,MON,5649
15676,12,MON,5679
15676,13,MON,5728
15676,14,MON,5812
15676,15,MON,6241
15676,16,MON,6724
15676,17,MON,7313
15676,18,MON,7870
15676,19,MON,8008
15676,20,MON,8039
15676,21,MON,7977
15676,22,MON,7687
15676,23,MON,7283
15676,0,MON,7066
15677,1,MON,3286
15677,2,MON,2890
15677,3,MON,2988
15677,4,MON,3355
15677,5,MON,3977
15677,6,MON,4403
15677,7,MON,4478
15677,8,MON,4041
15677,9,MON,3936
15677,10,MON,3849
15677,11,MON,4021
15677,12,MON,3929
15677,13,MON,3995
15677,14,MON,3979
15677,15,MON,4170
15677,16,MON,4315
15677,17,MON,4465
15677,18,MON,4627
15677,19,MON,4531
15677,20,MON,4453
15677,21,MON,4289
15677,22,MON,4022
15677,23,MON,3785
15677,0,MON,3627
15678,1,MON,2756
15678,2,MON,2481
15678,3,MON,2553
15678,4,MON,2859
15678,5,MON,3310
15678,6,MON,4010
15678,7,MON,4325
15678,8,MON,4178
15678,9,MON,4122
15678,10,MON,4125
15678,11,MON,4024
15678,12,MON,3914
15678,13,MON,3821
15678,14,MON,3753
15678,15,MON,3717
15678,16,MON,3833
15678,17,MON,3958
15678,18,MON,4082
15678,19,MON,3989
15678,20,MON,3878
15678,21,MON,3803
15678,22,MON,3437
15678,23,MON,3224
15678,0,MON,3002
15679,1,MON,5022
15679,2,MON,4576
15679,3,MON,4705
15679,4,MON,5126
15679,5,MON,5732
15679,6,MON,6630
15679,7,MON,7114
15679,8,MON,6976
15679,9,MON,6899
15679,10,MON,6904
15679,11,MON,7061
15679,12,MON,7114
15679,13,MON,7054
15679,14,MON,6991
15679,15,MON,6985
15679,16,MON,6925
15679,17,MON,6873
15679,18,MON,6986
15679,19,MON,6963
15679,20,MON,6801
15679,21,MON,6581
15679,22,MON,6210
15679,23,MON,5806
15679,0,MON,5498
15680,1,MON,5625
15680,2,MON,5099
15680,3,MON,5220
15680,4,MON,5814
15680,5,MON,7147
15680,6,MON,9144
15680,7,MON,10122
15680,8,MON,9953
15680,9,MON,9487
15680,10,MON,9350
15680,11,MON,9307
15680,12,MON,9085
15680,13,MON,8806
15680,14,MON,8546
15680,15,MON,8523
15680,16,MON,8470
15680,17,MON,8176
15680,18,MON,7813
15680,19,MON,7473
15680,20,MON,7318
15680,21,MON,7096
15680,22,MON,6750
15680,23,MON,6390
15680,0,MON,6149
15681,1,MON,8664
15681,2,MON,7554
15681,3,MON,7457
15681,4,MON,8317
15681,5,MON,9252
15681,6,MON,9652
15681,7,MON,9298
15681,8,MON,8286
15681,9,MON,7546
15681,10,MON,7468
15681,11,MON,7503
15681,12,MON,7528
15681,13,MON,7449
15681,14,MON,7566
15681,15,MON,7939
15681,16,MON,8449
15681,17,MON,8984
15681,18,MON,9591
15681,19,MON,9961
15681,20,MON,10208
15681,21,MON,10382
15681,22,MON,10179
15681,23,MON,9881
15681,0,MON,9547
15682,1,MON,4534
15682,2,MON,3963
15682,3,MON,4280
15682,4,MON,4718
15682,5,MON,5450
15682,6,MON,5856
15682,7,MON,5690
15682,8,MON,5052
15682,9,MON,4597
15682,10,MON,4461
15682,11,MON,4401
15682,12,MON,4372
15682,13,MON,4346
15682,14,MON,4450
15682,15,MON,4615
15682,16,MON,4997
15682,17,MON,5218
15682,18,MON,5328
15682,19,MON,5496
15682,20,MON,5554
15682,21,MON,5482
15682,22,MON,5292
15682,23,MON,5152
15682,0,MON,4999
15701,1,MON,2367
15701,2,MON,2051
15701,3,MON,1996
15701,4,MON,2331
15701,5,MON,2712
15701,6,MON,2919
15701,7,MON,2911
15701,8,MON,2767
15701,9,MON,2698
15701,10,MON,2680
15701,11,MON,2758
15701,12,MON,2735
15701,13,MON,2782
15701,14,MON,2767
15701,15,MON,2871
15701,16,MON,2988
15701,17,MON,3032
15701,18,MON,3035
15701,19,MON,2955
15701,20,MON,2906
15701,21,MON,2913
15701,22,MON,2804
15701,23,MON,2692
15701,0,MON,2631
15702,1,MON,6044
15702,2,MON,5331
15702,3,MON,5331
15702,4,MON,6074
15702,5,MON,7018
15702,6,MON,7927
15702,7,MON,8817
15702,8,MON,9436
15702,9,MON,9789
15702,10,MON,10107
15702,11,MON,10193
15702,12,MON,10190
15702,13,MON,10156
15702,14,MON,10052
15702,15,MON,10084
15702,16,MON,9980
15702,17,MON,9645
15702,18,MON,9026
15702,19,MON,8205
15702,20,MON,7782
15702,21,MON,7499
15702,22,MON,7107
15702,23,MON,6870
15702,0,MON,6683
15703,1,MON,2847
15703,2,MON,2515
15703,3,MON,2629
15703,4,MON,3070
15703,5,MON,4026
15703,6,MON,5509
15703,7,MON,6413
15703,8,MON,6316
15703,9,MON,6386
15703,10,MON,6368
15703,11,MON,6570
15703,12,MON,6694
15703,13,MON,6671
15703,14,MON,6772
15703,15,MON,6837
15703,16,MON,6701
15703,17,MON,6301
15703,18,MON,5511
15703,19,MON,4871
15703,20,MON,4480
15703,21,MON,4152
15703,22,MON,3664
15703,23,MON,3324
15703,0,MON,3149
15704,1,MON,3965
15704,2,MON,3588
15704,3,MON,3701
15704,4,MON,4031
15704,5,MON,4640
15704,6,MON,5425
15704,7,MON,5871
15704,8,MON,5413
15704,9,MON,5260
15704,10,MON,5268
15704,11,MON,5361
15704,12,MON,5428
15704,13,MON,5484
15704,14,MON,5509
15704,15,MON,5603
15704,16,MON,5443
15704,17,MON,5416
15704,18,MON,5566
15704,19,MON,5453
15704,20,MON,5408
15704,21,MON,5326
15704,22,MON,4981
15704,23,MON,4602
15704,0,MON,4309
15705,1,MON,5483
15705,2,MON,4940
15705,3,MON,4980
15705,4,MON,5400
15705,5,MON,6152
15705,6,MON,7028
15705,7,MON,7504
15705,8,MON,7431
15705,9,MON,7468
15705,10,MON,7514
15705,11,MON,7660
15705,12,MON,7712
15705,13,MON,7540
15705,14,MON,7536
15705,15,MON,7593
15705,16,MON,7485
15705,17,MON,7373
15705,18,MON,7343
15705,19,MON,7236
15705,20,MON,7239
15705,21,MON,7148
15705,22,MON,6668
15705,23,MON,6270
15705,0,MON,5983
15706,1,MON,6179
15706,2,MON,5593
15706,3,MON,5724
15706,4,MON,6298
15706,5,MON,7215
15706,6,MON,8336
15706,7,MON,9499
15706,8,MON,10065
15706,9,MON,10406
15706,10,MON,10630
15706,11,MON,10927
15706,12,MON,10907
15706,13,MON,10648
15706,14,MON,10522
15706,15,MON,10348
15706,16,MON,9992
15706,17,MON,9534
15706,18,MON,8870
15706,19,MON,8250
15706,20,MON,8090
15706,21,MON,7865
15706,22,MON,7416
15706,23,MON,7011
15706,0,MON,6730
15707,1,MON,5922
15707,2,MON,5303
15707,3,MON,5192
15707,4,MON,5861
15707,5,MON,7123
15707,6,MON,9629
15707,7,MON,13133
15707,8,MON,15909
15707,9,MON,17295
15707,10,MON,18158
15707,11,MON,18595
15707,12,MON,18474
15707,13,MON,18064
15707,14,MON,17633
15707,15,MON,16741
15707,16,MON,14743
15707,17,MON,12198
15707,18,MON,10048
15707,19,MON,8714
15707,20,MON,8036
15707,21,MON,7655
15707,22,MON,7220
15707,23,MON,6808
15707,0,MON,6535
15708,1,MON,2115
15708,2,MON,1890
15708,3,MON,1827
15708,4,MON,2120
15708,5,MON,2787
15708,6,MON,3944
15708,7,MON,5577
15708,8,MON,6644
15708,9,MON,7201
